timestamp,product_name,expiry_date,quantity,unit_price,channel,payment_method
2023-04-11T12:11:29Z,Coffee - Irish Cream,2023-05-02,14,39.79,Store,Visa
2023-05-07T05:07:41Z,Carbonated Water - Orange,2023-07-29,12,218.54,Store,Cash
2023-03-25T04:58:16Z,Veal - Loin,2023-06-13,15,97.67,Store,Cash
2023-03-22T13:05:02Z,Beans - Butter Lrg Lima,2023-03-25,12,203.85,Store,Cash
2023-04-05T14:33:02Z,Sparkling Wine - Rose Freixenet,2023-06-12,3,239.85,Store,Cash
2023-04-25T21:26:49Z,Phyllo Dough,2023-05-18,6,116.3,Store,Cash
2023-04-11T04:46:06Z,Marjoram - Fresh,2023-04-25,8,23.68,Store,Visa
2023-03-14T17:54:57Z,Seabream Whole Farmed,2023-06-10,12,137.95,Store,Cash
2023-04-18T08:02:38Z,Table Cloth 90x90 White,2023-06-14,3,226.48,Store,Cash
2023-04-09T04:26:46Z,Veal - Eye Of Round,2023-07-03,3,237.97,App,Visa
2023-05-03T16:52:08Z,Cocoa Butter,2023-05-07,10,29.05,Store,Cash
2023-03-18T18:59:24Z,Coffee Cup 12oz 5342cd,2023-04-30,4,184.05,Store,Visa
2023-03-23T09:52:11Z,Coconut - Creamed Pure,2023-06-18,16,112.73,Store,Visa
2023-03-28T18:26:09Z,Banana - Green,2023-06-04,13,47.29,Store,Cash
2023-03-28T15:53:10Z,Country Roll,2023-04-01,13,182.51,Store,Cash
2023-04-22T06:04:16Z,Chip - Potato Dill Pickle,2023-06-19,17,75.92,Store,Visa
2023-03-29T05:18:17Z,Nantuket Peach Orange,2023-05-04,5,144.49,Store,Visa
2023-04-08T23:02:12Z,Mushroom - Morel Frozen,2023-05-23,9,48.97,Store,Cash
2023-04-16T10:52:03Z,Water - Tonic,2023-07-06,5,28.74,App,Visa
2023-04-16T11:59:18Z,Bread - Italian Sesame Poly,2023-06-09,13,91.47,App,Visa
2023-03-14T08:09:54Z,Apple - Macintosh,2023-04-29,7,192.42,Store,Visa
2023-04-02T16:37:48Z,Apples - Spartan,2023-05-12,1,89.24,Store,Cash
2023-03-26T12:49:39Z,Flour - Bread,2023-04-02,16,201.11,Store,Visa
2023-04-11T14:21:29Z,Mushroom - Oyster Fresh,2023-05-16,12,18.21,Store,Visa
2023-04-21T22:43:31Z,Truffle Cups - Red,2023-07-02,3,88.12,Store,Cash
2023-03-14T04:28:36Z,Egg Patty Fried,2023-05-24,6,221.74,App,Visa
2023-03-19T23:30:09Z,Squid - Breaded,2023-05-15,8,78.14,Store,Visa
2023-05-11T19:17:10Z,Wine - Red Lurton Merlot De,2023-06-26,9,166.47,Store,Visa
2023-05-05T09:28:22Z,Skirt - 29 Foot,2023-07-14,13,226.61,Store,Visa
2023-03-16T13:04:53Z,Wine - White Ej,2023-03-17,1,211.6,App,Visa
2023-04-30T16:58:57Z,Vector Energy Bar,2023-06-18,15,212.47,App,Visa
2023-04-06T03:52:02Z,Nut - Almond Blanched Ground,2023-05-17,1,109.23,Store,Cash
2023-04-27T10:39:44Z,Pastry - Apple Large,2023-07-23,13,113.5,Store,Visa
2023-05-05T14:09:45Z,Puree - Blackcurrant,2023-08-02,10,179.65,Store,Cash
2023-04-19T20:19:49Z,Longos - Cheese Tortellini,2023-05-06,8,45.52,Store,Visa
2023-04-16T02:06:28Z,Table Cloth 62x120 White,2023-05-31,7,142.9,Store,Cash
2023-03-13T08:33:14Z,Puree - Raspberry,2023-06-02,2,41.76,Store,Cash
2023-03-28T05:17:39Z,Saskatoon Berries - Frozen,2023-05-10,3,192.93,Store,Cash
2023-05-04T16:28:33Z,Mustard - Dijon,2023-05-28,17,107.73,Store,Cash
2023-04-01T14:42:24Z,Dragon Fruit,2023-06-19,1,41,Store,Visa
2023-04-04T15:40:13Z,Bread - White Sliced,2023-05-16,6,109.38,Store,Cash
2023-04-14T04:58:39Z,Soup - Campbells Spinach Crm,2023-05-23,15,157.11,Store,Visa
2023-05-10T20:55:51Z,Salmon - Atlantic No Skin,2023-07-06,9,45.48,App,Visa
2023-04-26T06:59:39Z,Tuna - Sushi Grade,2023-07-21,2,93.31,Store,Visa
2023-04-20T16:49:36Z,Dried Apple,2023-05-22,15,71.27,Store,Cash
2023-04-10T16:41:10Z,Pepper - Jalapeno,2023-04-27,14,82.49,Store,Cash
2023-03-16T14:06:24Z,Onions - Pearl,2023-03-18,7,44.14,Store,Cash
2023-04-22T10:19:06Z,Saskatoon Berries - Frozen,2023-06-14,4,220.58,Store,Visa
2023-04-29T15:13:22Z,Wine - White Pelee Island,2023-06-02,5,35.66,Store,Cash
2023-05-11T18:06:03Z,Yeast Dry - Fermipan,2023-07-02,9,14.16,Store,Cash
2023-03-28T11:15:55Z,Seaweed Green Sheets,2023-04-05,5,141.41,App,Visa
2023-03-15T17:02:29Z,Pork - Sausage Casing,2023-04-20,6,198.93,Store,Visa
2023-05-08T00:32:42Z,Coconut Milk - Unsweetened,2023-07-02,10,133.14,Store,Visa
2023-04-02T01:09:07Z,Cookies - Assorted,2023-04-29,5,242.42,Store,Cash
2023-03-31T14:35:04Z,Lamb Rack Frenched Australian,2023-04-28,8,137.7,Store,Cash
2023-05-09T16:24:43Z,Lady Fingers,2023-06-22,10,199.82,Store,Cash
2023-04-19T19:28:39Z,Seaweed Green Sheets,2023-05-05,11,70.92,Store,Cash
2023-04-11T22:21:24Z,Truffle Shells - Semi - Sweet,2023-06-29,10,17.26,Store,Cash
2023-05-07T22:27:28Z,Fennel - Seeds,2023-07-18,15,129.78,Store,Cash
2023-03-29T17:09:27Z,Appetizer - Asian Shrimp Roll,2023-06-10,9,176.11,Store,Visa
2023-04-02T20:57:45Z,Taro Leaves,2023-05-01,5,5.03,Store,Cash
2023-04-27T23:47:18Z,Slt - Individual Portions,2023-05-08,12,211.52,Store,Cash
2023-05-08T06:53:17Z,Sauce - Ranch Dressing,2023-08-02,12,119.88,Store,Cash
2023-04-15T07:00:56Z,Lamb - Shoulder,2023-06-29,1,22.06,Store,Cash
2023-05-09T14:08:35Z,Halibut - Whole Fresh,2023-05-26,6,223.55,Store,Visa
2023-05-07T22:41:01Z,Truffle Shells - White Chocolate,2023-07-10,8,13.07,Store,Cash
2023-04-17T23:06:16Z,Fudge - Cream Fudge,2023-04-24,8,142.54,Store,Cash
2023-05-10T15:09:25Z,Beans - Navy Dry,2023-06-26,8,221.73,Store,Visa
2023-04-19T06:42:52Z,Cherries - Maraschinojar,2023-06-15,11,51.88,Store,Cash
2023-03-27T18:43:35Z,Tea - Herbal Sweet Dreams,2023-04-28,4,11.86,App,Visa
2023-03-22T19:07:07Z,Sesame Seed,2023-06-07,6,51.05,App,Visa
2023-04-13T23:44:52Z,Halibut - Whole Fresh,2023-06-17,14,52.33,Store,Visa
2023-05-12T07:56:42Z,Cheese - Le Cheve Noir,2023-08-08,11,177.59,Store,Visa
2023-04-30T12:41:45Z,Wine - Red Wolf Blass Yellow,2023-05-26,15,133.44,Store,Cash
2023-04-29T09:59:56Z,Ezy Change Mophandle,2023-05-26,6,85.01,App,Visa
2023-04-19T20:46:55Z,Cup - 6oz Foam,2023-07-18,10,166.92,App,Visa
2023-04-20T00:42:59Z,Halibut - Whole Fresh,2023-04-28,12,101.4,Store,Cash
2023-04-18T10:47:43Z,Veal Inside - Provimi,2023-06-11,10,159.12,Store,Visa
2023-03-19T02:17:37Z,Mushroom - Lg - Cello,2023-05-15,14,131.04,App,Visa
2023-04-21T05:20:00Z,Pastry - Apple Muffins - Mini,2023-06-12,6,211.93,Store,Visa
2023-04-08T03:59:18Z,Curry Powder,2023-04-11,15,118.72,Store,Cash
2023-04-13T07:47:35Z,Ecolab - Hand Soap Form Antibac,2023-05-03,5,18.58,Store,Cash
2023-03-31T06:51:48Z,Flavouring Vanilla Artificial,2023-05-22,11,124.27,Store,Visa
2023-04-16T22:20:48Z,Longos - Chicken Wings,2023-05-04,3,220.64,Store,Cash
2023-05-08T02:55:54Z,Eggplant - Asian,2023-06-25,1,142.85,Store,Visa
2023-03-15T15:55:41Z,Pants Custom Dry Clean,2023-03-16,1,157.24,App,Visa
2023-05-09T08:46:19Z,Country Roll,2023-06-06,10,88.82,Store,Cash
2023-03-27T14:03:36Z,Chips Potato Reg 43g,2023-06-01,15,167.36,Store,Visa
2023-04-03T10:59:08Z,Apple - Delicious Golden,2023-06-06,6,110.15,App,Visa
2023-03-23T13:24:24Z,Table Cloth 54x54 White,2023-06-21,3,215.26,Store,Cash
2023-04-09T14:11:07Z,Shrimp - Baby Warm Water,2023-04-16,14,156.11,Store,Visa
2023-03-13T06:07:16Z,Southern Comfort,2023-04-22,13,14.48,Store,Cash
2023-04-09T04:38:34Z,Cheese - Grana Padano,2023-05-24,11,118.31,Store,Visa
2023-04-08T14:49:16Z,Appetizer - Mushroom Tart,2023-06-20,14,12.77,Store,Cash
2023-04-06T08:20:48Z,Ecolab - Orange Frc Cleaner,2023-04-30,11,108.87,Store,Visa
2023-04-29T19:55:45Z,Wine - Red Gamay Noir,2023-06-15,2,242.92,App,Visa
2023-04-25T06:49:11Z,Crush - Orange 355ml,2023-07-10,4,11.74,App,Visa
2023-04-27T21:06:31Z,Pasta - Cappellini Dry,2023-05-09,13,1.99,Store,Visa
2023-04-18T16:07:32Z,Bread - Corn Muffaletta,2023-05-17,17,165.69,Store,Visa
2023-04-22T21:09:42Z,Beer - True North Lager,2023-06-30,15,225.44,Store,Cash
2023-04-03T18:42:42Z,Foil - 4oz Custard Cup,2023-05-28,12,165.21,Store,Cash
2023-04-11T07:44:11Z,Soup - Canadian Pea Dry Mix,2023-04-20,12,88.7,App,Visa
2023-04-24T21:45:25Z,Beans - Fava Canned,2023-07-03,15,53.44,Store,Cash
2023-04-11T01:52:11Z,Lamb - Loin Trimmed Boneless,2023-06-24,7,212.2,App,Visa
2023-05-05T11:07:49Z,Wine - Duboeuf Beaujolais,2023-07-30,1,221.83,Store,Visa
2023-05-02T02:17:55Z,Sole - Dover Whole Fresh,2023-05-14,8,4.04,Store,Cash
2023-04-13T04:47:28Z,Rabbit - Frozen,2023-06-08,7,35.28,Store,Visa
2023-03-21T00:27:58Z,Squash - Pattypan Yellow,2023-05-18,14,53.38,Store,Cash
2023-04-22T22:48:28Z,Chicken - Bones,2023-05-03,3,209.73,Store,Visa
2023-04-01T22:28:46Z,Salmon - Atlantic Skin On,2023-04-07,7,55.92,App,Visa
2023-03-22T13:50:50Z,Kiwi Gold Zespri,2023-06-20,15,14.41,Store,Cash
2023-05-12T00:43:37Z,Fudge - Cream Fudge,2023-06-25,3,210.92,Store,Cash
2023-05-07T12:27:51Z,Apple - Royal Gala,2023-05-18,5,216.69,Store,Visa
2023-03-27T13:03:41Z,Cheese - Montery Jack,2023-04-04,3,70.45,App,Visa
2023-03-18T02:20:43Z,Wine - Duboeuf Beaujolais,2023-04-15,6,74.09,Store,Visa
2023-04-14T04:07:16Z,Yukon Jack,2023-06-05,5,58.67,App,Visa
2023-05-07T00:28:53Z,Wine - Remy Pannier Rose,2023-06-21,1,184.12,Store,Cash
2023-03-20T01:31:01Z,Sansho Powder,2023-04-12,10,191.18,Store,Visa
2023-04-08T21:30:48Z,Wine - Rosso Toscano Igt,2023-06-07,15,106.2,Store,Cash
2023-04-07T14:45:15Z,Smoked Paprika,2023-06-19,2,190.87,Store,Cash
2023-03-20T02:57:58Z,Duck - Fat,2023-05-28,14,190.27,App,Visa
2023-05-04T05:23:42Z,Sauce - Apple Unsweetened,2023-07-31,15,20.27,App,Visa
2023-04-02T21:30:28Z,Beef - Tenderloin,2023-04-09,13,3.79,Store,Cash
